scenario_id,sampled_historical_slot,name_en,stochastic_net_bike_change_15min,stochastic_demand_15min,stochastic_return_15min
17,2026-05-21 04:50:00,1st,0,0,0
17,2026-05-21 04:50:00,2nd,-1,1,0
17,2026-05-21 04:50:00,3rd,0,0,0
17,2026-05-21 04:50:00,4th,0,0,0
17,2026-05-21 04:50:00,5th,0,0,0
17,2026-05-21 04:50:00,6th,-1,1,0
17,2026-05-21 04:50:00,7th,0,0,0
18,2026-05-21 05:35:00,1st,-1,1,0
18,2026-05-21 05:35:00,2nd,-1,1,0
18,2026-05-21 05:35:00,3rd,0,0,0
18,2026-05-21 05:35:00,4th,0,0,0
18,2026-05-21 05:35:00,5th,0,0,0
18,2026-05-21 05:35:00,6th,0,1,1
18,2026-05-21 05:35:00,7th,0,0,0
19,2026-05-21 06:50:00,1st,1,0,1
19,2026-05-21 06:50:00,2nd,0,0,0
19,2026-05-21 06:50:00,3rd,0,2,2
19,2026-05-21 06:50:00,4th,0,0,0
19,2026-05-21 06:50:00,5th,0,0,0
19,2026-05-21 06:50:00,6th,0,0,0
19,2026-05-21 06:50:00,7th,0,0,0
20,2026-05-21 07:35:00,1st,0,1,1
20,2026-05-21 07:35:00,2nd,2,0,2
20,2026-05-21 07:35:00,3rd,0,0,0
20,2026-05-21 07:35:00,4th,0,0,0
20,2026-05-21 07:35:00,5th,0,0,0
20,2026-05-21 07:35:00,6th,0,0,0
20,2026-05-21 07:35:00,7th,-1,1,0
21,2026-05-20 07:05:00,1st,3,3,6
21,2026-05-20 07:05:00,2nd,-1,1,0
21,2026-05-20 07:05:00,3rd,0,0,0
21,2026-05-20 07:05:00,4th,0,0,0
21,2026-05-20 07:05:00,5th,0,0,0
21,2026-05-20 07:05:00,6th,-1,2,1
21,2026-05-20 07:05:00,7th,0,0,0
22,2026-05-20 20:05:00,1st,2,2,4
22,2026-05-20 20:05:00,2nd,0,1,1
22,2026-05-20 20:05:00,3rd,1,1,2
22,2026-05-20 20:05:00,4th,0,0,0
22,2026-05-20 20:05:00,5th,1,2,3
22,2026-05-20 20:05:00,6th,0,0,0
22,2026-05-20 20:05:00,7th,-1,1,0
23,2026-05-20 13:35:00,1st,0,2,2
23,2026-05-20 13:35:00,2nd,0,0,0
23,2026-05-20 13:35:00,3rd,2,0,2
23,2026-05-20 13:35:00,4th,1,0,1
23,2026-05-20 13:35:00,5th,-1,1,0
23,2026-05-20 13:35:00,6th,0,0,0
23,2026-05-20 13:35:00,7th,0,0,0
24,2026-05-20 13:05:00,1st,1,0,1
24,2026-05-20 13:05:00,2nd,1,0,1
24,2026-05-20 13:05:00,3rd,1,0,1
24,2026-05-20 13:05:00,4th,0,0,0
24,2026-05-20 13:05:00,5th,0,0,0
24,2026-05-20 13:05:00,6th,0,0,0
24,2026-05-20 13:05:00,7th,-1,2,1
25,2026-05-20 12:50:00,1st,-2,3,1
25,2026-05-20 12:50:00,2nd,0,0,0
25,2026-05-20 12:50:00,3rd,0,0,0
25,2026-05-20 12:50:00,4th,0,0,0
25,2026-05-20 12:50:00,5th,-1,1,0
25,2026-05-20 12:50:00,6th,0,0,0
